,Source,Title,Lyrics
11,mojim.com,天才與白痴,"許冠傑

天才與白痴

作詞：許冠傑/薛志雄
作曲：許冠傑

呢個世界上，有精仔、有懵仔、有叻仔、散仔、賭仔、重有戇居仔，
有衰仔、有好仔、反骨仔、癲仔、蠢仔重弊過敗家仔，
細蚊仔、臭飛仔、招卿仔、靚仔、打仔亂咁出刀仔，問你點敢亂生仔。


邊個係天才(天才)，邊個係白痴(白痴)，
扮懵定蠢才，冇咁易會知(阿茂至知)，
天才與白痴，你黐定我黐，天才與白痴，冇咁易會知，天才與白……痴。


呢個世界上，有冤鬼、有嘩鬼、有奸鬼、賭鬼、盞鬼、重有咸濕鬼，
有衰鬼、有煙鬼、攝青鬼、生鬼、撞鬼撞著個冒失鬼，
醉酒鬼、吊靴鬼、醜死鬼、假鬼、真鬼、亂咁鬼打鬼，問你究竟攪乜鬼。
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網


乜鬼係天才，乜鬼係白痴，扮懵定蠢才，冇咁易會知，
天才與白痴，你黐定我黐，天才與白痴，冇咁易會知，天才與白……痴。


呢個世界上，有堅嘢、有流嘢、有精、喎、喳、重有大鑊，
有衰、有好、有筍、貴、賤、最划忌就賴，
醒胃、林嬸、正斗、靚、杰、最爽就撈粗，確係認真唔少。


乜嘢係天才，乜嘢係白痴，扮懵定蠢才，冇咁易會知，
天才與白痴，你黐定我黐，天才與白痴，冇咁易會知，
天才與白痴，天才與白痴，天才與白痴。"
12,mojim.com,天才白痴往日情,"許冠傑

天才白痴往日情

電影「天才與白痴」插曲
作詞：許冠傑/薛志雄
作曲：許冠傑

痛別離 惜分飛 緣份一朝忍心拋棄
往日情未泯 泣咽悽聲怨蒼天太狠

鳥倦還 影孤單 無奈美夢頃刻吹散
往日情未泯 泣咽悽聲怨蒼天太狠

*暴雨中 相親相與共 夢已空 太匆匆
淚暗湧 偷偷心底送 遍地紅葉怨秋風

再會難 呼不返 寒夜對月幾番嗟歎
往日情未泯 泣咽悽聲怨蒼天太狠*

Repeat*"
13,mojim.com,天才白痴錢錢錢,"許冠傑

天才白痴錢錢錢

電影「天才與白痴」插曲
作詞：許冠傑/薛志雄
作曲：許冠傑

^(錢錢錢錢 錢錢錢錢)(錢錢錢錢 錢錢錢錢)
(錢錢錢錢 錢錢錢錢)(錢錢錢錢 錢錢錢錢)^
(錢錢錢錢 錢錢錢錢)(錢錢錢錢 錢錢錢錢)
(錢錢錢錢 錢錢錢錢)(錢錢錢錢 錢錢錢錢)

*成日要錢多(錢錢錢錢 錢錢錢錢)
乾水乜都喎(錢錢錢錢 錢錢錢錢)
借錢最折墮(錢錢錢錢 錢錢錢錢)
趴低翳契哥(錢錢錢錢 錢錢錢錢)

貧賤拗頸多(No Money No Talk)(No Money No Talk)
生仔都諗過(No Money No Talk)(No Money No Talk)
阿女嗌肚餓(No Money No Talk)(No Money No Talk)
屋租都要拖(No Money No Talk)(No Money No Talk)*

有乜嘢會令你心花怒放(錢)
諗得多卒之梗癲癲喪喪(錢)
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網
有咗佢 就算打跛雙腳都冇相干
冇得擋 冇得擋

Repeat*

有錢確係會少咁啲罪案(錢)
駛乜衰到通街偷搶騙當(錢)
冇咗佢 就算包公都由你嗌冤枉
懶得講 懶得講

Repeat*^

(No Money No Talk)(No Money No Talk)
(No Money No Talk)(No Money No Talk)
(No Money No Talk)(No Money No Talk)
(No Money No Talk)(No Money No Talk)

Repeat^"
14,mojim.com,天才白痴夢,"許冠傑

天才白痴夢

電影「天才與白痴」插曲
作詞：許冠傑/薛志雄
作曲：許冠傑

人皆尋夢 夢裡不分西東
片刻春風得意 未知景物朦朧

人生如夢 夢裡輾轉吉凶
尋樂不堪苦困 未識苦與樂同

*天造之才 皆有其用
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網
振翅高飛 無須在夢中

南柯長夢 夢去不知所蹤
醉翁他朝醒覺 是否跨鳳乘龍

Repeat*

何必尋夢 夢裡甘苦皆空
勸君珍惜此際 自當欣慰無窮 何必尋夢"
15,mojim.com,情人離別去,"許冠傑

情人離別去

原曲：What Will My Mary Say
作詞：許冠英
作曲：P.Vance/E.Snyder

情人離別去 濃情如夢碎
從前曾共你 相依相對
愛已化煙 再不相聚
空寄柔情似水

良緣難共訂 瑤琴誰伴聽
離愁腸斷 百感交併
怕對故苑 倍感幽靜
孤雁獨鳴怨聲

更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網
以往與你 恩愛伴隨
鴛鴦侶 長廝對
愛已遠去 悲痛灑淚
念情緣 不勝唏噓

寒蟬長夜叫 床前殘月照
何時能望 再舉杯歡笑
我倆愛火 已不驕耀
空嘆舊情飄渺
我倆愛火 已不驕耀
空嘆舊情飄渺"
16,mojim.com,青春夢裡人,"許冠傑

青春夢裡人

原曲：Stay Awhile
作詞：許冠傑
作曲：Ken Tobias

共妳今朝見面 真覺 令我飄然
但覺心慌意亂 今晚 望再相見

*與妳夢中痴纏 燕侶手相牽
暢快共遊 夢裡仙園
陶醉愛海溫馨美屬眷*
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網

夢裡花香吐艷 傾訴 萬語千言
共向星星訴願 相愛 萬勢不變

Repeat**

陶醉愛海溫馨美屬眷
(我哋今晚見)"
17,mojim.com,獨上西樓,"許冠傑

獨上西樓

原曲：Holiday
作詞：許冠傑
作曲：Gibbs

無言獨上西樓 殘月正當頭
何時復與卿遊 腸斷百般愁

*才與妳剛分手 轉眼又到深秋
痛念舊情淚滿眼 空悲嘆 緣太暫

無言獨上西樓(心苦透) 殘月正當頭
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網
何時復與卿遊(空追疚) 腸斷百般愁

勞燕已分西東 恩愛尚記心中
往日熱情夢已碎 鴛鴦侶 難再聚*

^(Dee dee dee dee dee dee)
(Dee dee dee) (Dee dee)(dee dee)^

Repeat^*^^"
18,mojim.com,齊齊唱首歌,"許冠傑

齊齊唱首歌

作詞：許冠傑
作曲：許冠傑

朝九 晚五 就要打工 又要聽老闆發嗡風
放工 去迫車 都迫餐死
咁嘅生活你話幾谷氣 咁嘅生活你話幾谷氣

*齊齊唱首歌 齊齊唱首歌 一曲去心火
人人情盡放 人人情盡放 拋開煩惱玩番趟*
^一齊拍下手掌(拍下手掌) 要拍得更響(拍得更響)
一齊拍下手掌(拍下手掌) 開開心心高聲唱^
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網

#啦啦啦啦啦 啦啦啦啦啦 啦啦啦啦啦
啦啦啦啦啦 啦啦啦啦啦 啦啦啦啦啦啦啦#

三嬸 舅母 又嘆幾圈 仲要拖細佬去公園
阿媽 佢餐餐 都嗰幾味
咁嘅生活你話幾谷氣 咁嘅生活你話幾谷氣

Repeat*^#*#"
19,mojim.com,莫等待,"許冠傑

莫等待

作詞：許冠傑
作曲：許冠傑
編曲：許冠傑

莫等待 光陰不會復來
勿讓青春偷偷消逝去 莫等待

莫等待 春風吹過暴雨來
浪蝶應悔當初不自愛 莫等待

別戀金縷衣 惜取少年時
發奮上進 不容遲 同聚今朝共立志
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網

莫等待 光陰不會復來
勿讓青春偷偷消逝去 莫等待

別戀金縷衣 惜取少年時
發奮上進 不容遲 同聚今朝共立志
莫等待 春風吹過暴雨來
浪蝶應悔當初不自愛 莫等待
浪蝶應悔當初不自愛 莫等待



感謝 小薇 修正歌詞"
20,mojim.com,歡樂桃源,"許冠傑

歡樂桃源

作詞：許冠英
作曲：許冠英

迷惘 在愛海裡 輕快蕩樣
情侶 願化彩蝶 共舞飛翔
原野 景色一片 忘盡苦惱
同聚 歡樂桃源 春花吐香

陶醉 在柳陰裡 相對定情
立志 共對苦難 熱愛真誠
湖裡 鴛鴦嬉戲 甜蜜相對
同聚 歡樂桃源 心堅情永
更多更詳盡歌詞 在 ※ Mojim.com　魔鏡歌詞網

*春風滿面 互相纏綿
誓與卿今生 濃情共眷戀

遙看 玉燕飛舞 歌唱共鳴
共您 互醉好夢 在百花亭
猶似 天仙一對 情義深厚
同聚 歡樂桃源 把姻緣訂*

Repeat*"
