,Year,Album Names,Album Type,Record Label(s),Song Name,Medley,Artist(s),Composer(s),Lyricist(s),Adapted from,Originally Sang by,Movie,Movie Role
272,1985,愛情保險Disco Remix,Extended Play,新藝寶,愛情保險,,許冠傑,周啟生,潘源良,,,,
273,1985,愛情保險Disco Remix,Extended Play,新藝寶,最緊要好玩 Extended Version,,許冠傑,許冠傑,林振強,,,,
274,1985,愛情保險Disco Remix,Extended Play,新藝寶,最緊要好玩 (攪笑版本),,許冠傑;徐克;泰迪羅賓,許冠傑,林振強,,,,
275,1985,斤両十足,Extended Play,新藝寶,斤両十足 (Full Version),半斤八兩;打雀英雄傳;麻雀耍樂;應該要自愛;長春不老;搵嘢做;瑪莉！我好鐘意你！;財神到/瑪莉！我好鐘意你！;加價熱潮;摩登保鑣;最佳拍檔;學生哥;飲勝;快樂;錫曬你;杯酒當歌;為你;夜夜念奴嬌;梨渦淺笑;浪子心聲;天才白痴夢;世事如棋;天才白癡往日情;知音夢裡尋;是雨？是淚？;甜蜜的往事;紙船;這一曲送給您;印象;斷腸夢;雙星情歌;夜半輕私語;鐵塔凌雲;難忘您;十個女仔;天才白痴錢錢錢;天才與白痴;鬼馬雙星;錢會繼續嚟;尖沙咀Susie;賣身契;佛跳牆;傀儡;跟佢做個Friend;追求三部曲;日本娃娃;有酒今朝醉,許冠傑,許冠傑,許冠傑;黎彼得,,,,
276,1985,斤両十足,Extended Play,新藝寶,斤両十足 (Radio Version 1),半斤八兩;打雀英雄傳;麻雀耍樂;應該要自愛;長春不老;搵嘢做;瑪莉！我好鐘意你;財神到;摩登保鑣;最佳拍檔;學生哥;飲勝;快樂;錫曬你;杯酒當歌;為你;夜夜念奴嬌;梨渦淺笑;浪子心聲;天才白癡夢;世事如棋;天才白癡往日情;知音夢裡尋;是雨?是淚?;甜蜜的往事;紙船;這一曲送給您;印象;斷腸夢;雙星情歌;夜半輕私語;鐵塔凌雲;難忘您;十個女仔;錢錢錢;天才與白癡;鬼馬雙星;錢會繼續嚟;尖沙咀Susie;賣身契;佛跳牆;傀儡;跟佢做個Friend;追求三部曲;日本娃娃;有酒今朝醉,許冠傑,許冠傑,許冠傑;黎彼得,,,,
277,1985,斤両十足,Extended Play,新藝寶,斤両十足 (Radio Version 2),半斤八兩;打雀英雄傳;麻雀耍樂;應該要自愛;長春不老;搵嘢做;瑪莉！我好鐘意你;財神到;摩登保鑣;最佳拍檔;學生哥;飲勝;快樂;錫曬你;杯酒當歌;為你;夜夜念奴嬌;梨渦淺笑;浪子心聲;天才白癡夢;世事如棋;天才白癡往日情;知音夢裡尋;是雨?是淚?;甜蜜的往事;紙船;這一曲送給您;印象;斷腸夢;雙星情歌;夜半輕私語;鐵塔凌雲;難忘您;十個女仔;錢錢錢;天才與白癡;鬼馬雙星;錢會繼續嚟;尖沙咀Susie;賣身契;佛跳牆;傀儡;跟佢做個Friend;追求三部曲;日本娃娃;有酒今朝醉,許冠傑,許冠傑,許冠傑;黎彼得,,,,
278,1986,心思思,Extended Play,新藝寶,心思思 (Disco Remix),,許冠傑,Terry Britten;Lynsey De Paul,林振強,,,最佳拍擋-千里救差婆,主題曲
279,1986,心思思,Extended Play,新藝寶,心思思,,許冠傑,Terry Britten;Lynsey De Paul,林振強,,,,
280,1986,心思思,Extended Play,新藝寶,斤両十足 (Disco Remix),半斤八兩;打雀英雄傳;麻雀耍樂;應該要自愛;長春不老;搵嘢做;瑪莉！我好鐘意你;財神到;摩登保鑣;最佳拍檔;學生哥;飲勝;快樂;錫曬你;杯酒當歌;為你;夜夜念奴嬌;梨渦淺笑;浪子心聲;天才白癡夢;世事如棋;天才白癡往日情;知音夢裡尋;是雨?是淚?;甜蜜的往事;紙船;這一曲送給您;印象;斷腸夢;雙星情歌;夜半輕私語;鐵塔凌雲;難忘您;十個女仔;錢錢錢;天才與白癡;鬼馬雙星;錢會繼續嚟;尖沙咀Susie;賣身契;佛跳牆;傀儡;跟佢做個Friend;追求三部曲;日本娃娃;有酒今朝醉,許冠傑,許冠傑,許冠傑;黎彼得,,,,
281,1986,ラフ・シック,Extended Play,新藝寶,ラフ・シック Love Sick (心思思日語版),,許冠傑,Terry Britten;Lynsey De Paul,林振強,,,,
282,1986,ラフ・シック,Extended Play,新藝寶,日本ドール (日本娃娃),,許冠傑,許冠傑,許冠傑,,,,
283,1986,熱力之冠,Extended Play,新藝寶,擦鞋仔,,許冠傑,倫永亮,黎彼得,,,,
284,1986,熱力之冠,Extended Play,新藝寶,需要你,,許冠傑,許冠傑,許冠傑,,,,
285,1986,宇宙無限,Extended Play,新藝寶,寂寞聖誕,,許冠傑,Traditional Song,許冠傑,,,,
286,1986,宇宙無限,Extended Play,新藝寶,宇宙無限 Instrumental,,Instrumental,Donald Ashley,Instrumental,,,,
287,1986,宇宙無限,Extended Play,新藝寶,宇宙無限,,許冠傑,Donald Ashley,林振強,,,,
288,1986,宇宙無限,Extended Play,新藝寶,Radio好知己,,許冠傑,Mike Hawker;Ivor Raymonde,林振強,,,,
289,1989,珍惜.....往日情,Extended Play,新藝寶,往日情(現場版),,許冠傑,許冠傑,許冠傑;薛志雄,,,,
290,1989,珍惜.....往日情,Extended Play,新藝寶,兩個世界(現場版),,許冠傑,大津彰;鈴木喜三郎,向雪懷,,,,
291,1989,珍惜.....往日情,Extended Play,新藝寶,沉默是金,,許冠傑,張國榮,許冠傑,,,,
292,1989,珍惜.....往日情,Extended Play,新藝寶,珍惜,,許冠傑,許冠傑,許冠傑,,,,
